인접산,weight
소물산,0.001026995
부소산,0.004506066
귀룡산,0.000219877
철봉산,0.001547988
죽곡산,0.011370437
불모산,0.010334213
마안산,0.001039861
청옥산,0.006161972
말미산,0.00034662
좌방산,0.00063925
상학산,0.016260163
복주산,0.004190639
대운산,0.001209323
불무산,0.010867249
억산,0.005716799
성암산,0.001978892
덕절산,0.001539138
천봉산,0.004548122
마산,0.005611194
황방산,0.009916493
보루산,0.00161385
백적산,0.00191775
들미산,0.000740466
성수산,0.002087683
치악산,0.015910221
도락산,0.006179416
승암산,0.007306889
봉성산,0.002087683
도덕산,0.000293427
망마산,0.007434944
수매산,0.000897666
봉매산,0.002673797
월출산,0.088881379
교회뒷산,0.007018717
영산,7.10278E-05
월성산,0.004127967
오성산,0.000337952
복덕산,0.001351808
백두산,0.000439754
월명산,0.006002088
장복산,0.002968338
왕박산,0.003702332
대야산,0.018141429
마이산,0.027036395
망운산,0.000879507
백암산,0.001978892
무지산,0.000733568
일봉산,0.004159445
부아산,0.00164316
삼방산,0.001173709
꽃산,0.00013693
영주산,0.000171644
공덕산,0.000109938
금소산,0.0012785
작성산,0.012958164
망산,0.007365875
갱치뒷산,0.002961866
소륵산,0.068333333
양하산,0.001733102
대성산,0.000219877
잠산,0.00448833
똥뫼산,0.00208883
영장산,0.000228859
인성산,0.000329815
잣방산,0.001775694
가사미산,0.002005348
예빈산,0.000972651
홍샘이동산,0.053333333
함봉산,0.005013369
묵장산,0.000293427
심항산,0.009255831
흑석산,0.00168976
호명산,0.000370233
만리산,0.004548122
주산,0.002308707
호두술산,0.013673319
개군산,0.00095851
벌러진동산,0.041666667
적상산,0.004287599
덕음산,0.001351808
석대산,0.001099384
빈계산,0.020639835
주월산,0.004393376
동석산,0.006083136
등골산,0.003977555
수디산,0.0011107
덕산,0.001043841
산병산,0.00034662
형제산,0.003560181
금병산,0.000769569
양성산,0.014068863
무명산,0.00034662
오조산,0.009024064
만덕산,0.003041568
학운산,0.001002674
별뫼산,0.002703616
금성산,0.000109938
관주산,0.000675904
덕봉산,0.000586854
마명산,0.001207472
광제산,0.000879507
대룡산,0.000337952
팔각산,0.009389671
태기산,0.002201861
상아산,0.013137152
마오산,0.00095851
단암산,0.002692998
희양산,0.004988263
상두산정상,0.002348643
덕고산,0.001562611
황병산,0.002699055
대황산,0.000549692
기차산,0.011743215
현종산,0.005134977
배봉재,0.000514933
문영산,0.00011443
능걸산,0.001099384
갈미산,0.000782881
석포산,0.002860739
진늪산,0.001320423
소금강산,0.003080986
노고지리산,0.010927036
칠봉산,0.000769569
뒷산,0.000769569
천성산,0.017919965
계동산,0.002087683
가제산,0.000440141
금무들산,0.001319261
태화산,0.002772964
계양산,0.029745989
도마산,0.000370233
집현산,0.000769569
둔지산,0.001760563
인등산,0.001851166
중왕산,0.000994389
절산,0.000781305
수름산,0.001480933
베틀산,0.001467136
원당산,0.000293427
하마산,0.002579979
가은산,0.005183265
아홉산,0.005173688
설매산,0.000337952
다가산,0.002348643
고헌산,0.010509721
화봉산,0.000355139
연석산,0.005741127
