mns,score
0.000559823,0.244947105
0.000248578,0.126433201
0.004398897,0.608348209
0.007152482,0.685127056
0.007152482,0.685127056
0.000657909,0.270705788
0.000198998,0.098422131
0.001411118,0.401631783
0.072174158,0.963015323
0.002839565,0.530952352
0.000526368,0.235614075
0.025944135,0.847688308
0.001212513,0.375561599
0.000419715,0.199857429
0.000419715,0.199857429
0.000314222,0.158889142
0.000140935,0.062659494
0.000380956,0.185678172
0.000995264,0.34205135
0.001823075,0.448452682
0.002478129,0.505193669
0.011330758,0.744437922
0.014921866,0.77732517
0.002690507,0.521008303
0.000664577,0.272323194
0.020225706,0.815963195
0.027299562,0.854397546
0.001073791,0.355278134
0.000175777,0.084093115
0.001204737,0.374435406
0.027299548,0.854385566
0.001670017,0.431032624
0.004499324,0.612361772
0.030588485,0.868391101
0.004550914,0.614302659
0.044383658,0.912995555
0.001059402,0.353025747
0.002139603,0.478039225
0.002139603,0.478039225
0.03822622,0.89531192
0.001067293,0.354235806
0.000451935,0.211269124
0.018884041,0.807564666
0.054917326,0.936154408
0.102430329,0.984748463
0.006079956,0.661279308
0.00063662,0.265458205
0.001033399,0.348622809
0.016379436,0.788970491
0.001033399,0.348622809
0.006409129,0.669384308
0.006409129,0.669384308
0.00196955,0.462709813
0.008381088,0.707465226
0.001068528,0.354463441
6.07E-05,0.018755916
6.07E-05,0.018755916
0.000867414,0.317742341
0.035228605,0.885164197
0.00011029,0.045586879
0.000427442,0.202858615
0.035818821,0.886949333
0.011839702,0.750440294
0.000830017,0.31023039
0.033724167,0.880299999
0.003914276,0.58784909
0.00022345,0.112811051
0.066307973,0.955742988
0.001447383,0.405813076
0.034507522,0.882887848
0.000180024,0.086908599
6.15E-05,0.019420849
0.025610504,0.846058921
0.005002728,0.629703955
7.02E-05,0.024620509
0.004479817,0.611511136
0.000261664,0.133753459
0.000340106,0.17079804
0.012715664,0.759048486
0.012715664,0.759048486
0.000384492,0.186936154
0.000273476,0.139540178
0.005002728,0.629703955
0.001875843,0.454023746
0.002197074,0.483376664
0.00521206,0.636443145
0.0011134,0.361532103
0.000792857,0.302227228
