"정류소번호","정류소명","Y좌표","X좌표","도로명주소","housePop","comPop","billaPop","aptPop","numUniv","numHsch","numMsch","numHosp","bsst_ars_no","sum_ride_pasgr","sum_alight_pasgr","sum_pasgr","numSubw"
8883,"꿈의숲코오롱하늘채아파트",37.6189838,127.0458394,"대한민국 서울특별시 성북구 돌곶이로",5447.24,1392.772,899,664,0,0,0,2,8883,626,1335,1961,0
8884,"어해랑앞.구수진약국",37.61407484,127.0529205,"대한민국 서울특별시 성북구 돌곶이로",7842.61,3514.77002,1324,68,0,0,0,6,8884,4223,5041,9264,0
8885,"두산아파트",37.60677144,127.0365466,"대한민국 서울특별시 성북구 하월곡동 오패산로",9584.52,3007.26473,218,4545,0,0,0,10,8885,4146,7568,11714,0
8886,"고대병원",37.58633732,127.02705,"대한민국 서울특별시 성북구 인촌로",3208.64,7177.8448,254,185,0,1,1,6,8886,13700,7148,20848,1
8888,"한신103동앞",37.59202331,127.0082088,"대한민국 서울특별시 성북구 성북로4길",5255.91,3083.7524,989,2252,0,1,2,10,8888,192,12215,12407,0
8889,"성북소방서",37.6028,127.0315251,"대한민국 서울특별시 성북구 종암동 종암로27길",6690.22,3503.31975,287,3855,0,0,0,12,8889,1379,2009,3388,0
8892,"장위시장",37.6134406,127.0505764,"대한민국 서울특별시 성북구 장월로",8072.29,2695.31851,1354,0,0,0,0,8,8892,13198,10979,24177,0
8893,"생명의전화로터리",37.6038353,127.0378091,"대한민국 서울특별시 성북구 하월곡동 오패산로",7819.27,3543.47643,218,4658,0,0,0,13,8893,3387,7244,10631,1
8894,"정릉시장입구.정릉약국",37.60837072,127.0097442,"대한민국 서울특별시 성북구 정릉동 보국문로",6213.68,2024.03705,1867,1044,0,0,0,9,8894,2015,1166,3181,0
8895,"꿈의숲동문앞",37.62053946,127.0459403,"대한민국 서울특별시 성북구 장위1동 월계로36길",4602.7,1185.38865,525,1089,0,0,0,2,8895,71,2972,3043,0
8896,"꿈의숲대명루첸아파트",37.61915427,127.0469649,"대한민국 서울특별시 성북구 장위1동 돌곶이로40길 17",6009.09,1614.69872,788,664,0,0,0,4,8896,33,467,500,0
8897,"종암아이파크1차정문",37.6022065,127.0302915,"대한민국 서울특별시 성북구 종암동 종암로27길",6590.36,2939.65518,223,4585,0,0,0,11,8897,1076,2068,3144,0
8898,"돈암힐스테이트",37.59879169,127.014367,"대한민국 서울특별시 성북구 아리랑로",7368.55,1478.29447,685,4855,0,0,0,5,8898,1567,2173,3740,0
8900,"자산약국.월곡전철역입구.6호선",37.60417271,127.0393383,"대한민국 서울특별시 성북구 하월곡동 오패산로4길",7305.52,4033.62897,176,3428,1,0,0,15,8900,2730,8468,11198,1
8901,"수보약국",37.60870425,127.0080441,"대한민국 서울특별시 성북구 정릉동 보국문로11길",5416.97,2186.25541,1583,721,0,0,0,8,8901,1105,2178,3283,0
8904,"종암래미안",37.6018588,127.0298304,"대한민국 서울특별시 성북구 종암동 종암로27길",6560.16,2712.63248,385,5000,0,0,0,11,8904,423,2145,2568,0
8908,"장위천주교앞",37.6123943,127.0487838,"대한민국 서울특별시 성북구 장월로",7862.72,2392.38633,1667,0,0,0,0,6,8908,2972,2982,5954,0
8909,"월곡시장.동덕여대오거리",37.60412738,127.0427145,"대한민국 서울특별시 성북구 화랑로13길",4069.59,4532.93353,229,1338,1,0,0,9,8909,17740,11632,29372,1
